612717548149305344	Sun Jun 21 20:23:41 +0000 2015	1	0	@amazon scam? http://t.co/1D54Bc8bVB			1532481511	46	308	103	
612718503733391360	Sun Jun 21 20:27:29 +0000 2015	0	0	@amazon - everyone should model their support teams like yours. You guys rock - under 5 mins from start to finish :)			22451977	669	155	810	Palo Alto, CA
612718817039380480	Sun Jun 21 20:28:44 +0000 2015	0	0	@amazon I have been trying to get help with two orders that i haven't received. Anybody there that can help me...thanks			2519719438	6	9	7	
612718937462050816	Sun Jun 21 20:29:13 +0000 2015	0	0	@amazon 's next 'as a service', 'Pay on use' model. Will they also apply to the readers side? https://t.co/tAG1VtODyA			22353353	966	1945	7054	Montreal Canada
612721601881206784	Sun Jun 21 20:39:48 +0000 2015	0	0	@Amazon is doing such a great thing with Amazon Smile I loved Amazon before but this is one more reason to shop Amazon			2921826213	209	106	2798	Working Making Trillions
612721669275295744	Sun Jun 21 20:40:04 +0000 2015	0	0	@amazon Your delicious #wine deserves Luxury Crystal Glasses http://t.co/xOwILHB9Ru http://t.co/FHWmORgHfG			2875478206	813	1988	54194	Denver, Colorado
612724612120457216	Sun Jun 21 20:51:46 +0000 2015	0	0	@amazon wants me to fax my address, passport &amp; utility bills to a secure fax number to confirm my account?? #JustNo			440593061	335	360	11210	Canada
612731865754112000	Sun Jun 21 21:20:35 +0000 2015	0	0	@amazon Is the US version of the Batman Arkham Knight Limited Edition delayed as well? All I see is for UK and other territories			331142395	83	578	6856	Irwin, PA
612733679559950337	Sun Jun 21 21:27:47 +0000 2015	0	0	@amazon @AmazonHelp this can't be right??? $50 shipping for a mug? For 2 day shipping? Expedited is $6???? http://t.co/Pj5V8QREkv			73960195	372	570	18744	Hoenn, Probably
612736773840502785	Sun Jun 21 21:40:05 +0000 2015	0	0	@amazon is going #green. Check out their new 80 MW solar farm in #Virginia. http://t.co/cfCg2wpSCk			21047855	9067	1088	1276	Planet Earth
612738719938936836	Sun Jun 21 21:47:49 +0000 2015	0	0	@amazon every time I move touch my screen, done the update but this is making me lose my mind... http://t.co/kRdLbRsXqn			470978515	48	296	494	South East, England
612742869133082624	Sun Jun 21 22:04:18 +0000 2015	0	0	@amazon Sara and I like Bob the best. #MinionsBoxes http://t.co/EUOBbb8sN0		Georgia, US	582276272	62	152	239	
612742923080343552	Sun Jun 21 22:04:31 +0000 2015	0	0	@amazon thank you for quick and excellent customer service!! Didn't expect the the resolve to be as quick as it was.			28271437	524	1017	17037	
612746483608240128	Sun Jun 21 22:18:40 +0000 2015	1	0	@amazon I signed up for Amazon student SOLELY FOR 2 day free shipping and yet my packages were delayed. FIX IT.			322291329	510	374	20422	ॐ
612746974450728960	Sun Jun 21 22:20:37 +0000 2015	0	0	@amazon #originalseries #justaddmagic where is the rest.... It's been a while since your pilot episode😁😁			35927691	2925	947	5947	United States
612747377783377920	Sun Jun 21 22:22:13 +0000 2015	0	0	@amazon please remove all #ConfederateFlag from your site.			9129192	261	204	7045	Poway, CA
612747597736976384	Sun Jun 21 22:23:06 +0000 2015	0	0	@amazon I'm actually very upset because I needed my GRE books by tomorrow and now I won't have them because y'all effed up.			322291329	510	374	20422	ॐ
612751867911651328	Sun Jun 21 22:40:04 +0000 2015	0	0	@amazon we got Kevin today. #minonsboxes http://t.co/ZfC19ymwIz			75031188	65	263	1195	SoCal
612755367563534336	Sun Jun 21 22:53:58 +0000 2015	0	0	@amazon try google good reads	601171082817581057		2504294094	72	391	4419	nowhere
612758759325216768	Sun Jun 21 23:07:27 +0000 2015	0	0	@amazon have now refunded the delivery charges - let's see if my item actually shows up now!			83247051	584	1750	4862	St. Albans
612763787330846720	Sun Jun 21 23:27:26 +0000 2015	0	0	.@amazon that's one slick deep sea diving helmet!	606282334812426241		16954808	1892	911	91046	Troy, NY 
612767236055416832	Sun Jun 21 23:41:08 +0000 2015	0	0	@amazon @AmazonHelp When are we going to crush #AppleINC allowing #AmazonPrime members to family share music, playlists &amp; videos?			67069157	269	764	1756	Seattle, WA
612767353600933888	Sun Jun 21 23:41:36 +0000 2015	0	0	@amazon just bought book &amp; rented movie &amp; no-rush shipping promotional credit didn't get applied 2 either. Wtf is eligible if not old movie?			505038073	37	712	498	Philadelphia
612770481691738112	Sun Jun 21 23:54:02 +0000 2015	0	0	@amazon Please bring back the tracking number in the shipment email. Just idiotic to not include it.			20883974	51	58	1268	Palo Alto
612771783029043200	Sun Jun 21 23:59:12 +0000 2015	0	0	@amazon is there a way to see my balance for all those #norush shipping freebies I've been collecting?			14229651	2582	881	39417	Seattle, Washington, 98121
612772948898906112	Mon Jun 22 00:03:50 +0000 2015	1	1	@Amazon looks to improve customer-reviews system with #machinelearning http://t.co/gOYqUNFy1L			28028273	758	1503	17172	Memphis, TN
612773986204823553	Mon Jun 22 00:07:57 +0000 2015	0	0	@amazon you are stealing money from me! $21 to CANCEL my amazonprime membership is utter bullshit. :( #boycottamazon			14446137	1203	1888	11520	Planet Earth
612774487575007232	Mon Jun 22 00:09:57 +0000 2015	0	0	@Amazon Appstore for #Android: Job Search by http://t.co/Y47IipPSn8 (4.2 out of 5 stars) http://t.co/4Oq96DDSHO #FREEapp			482581321	3961	3746	417473	United States
612778342194941952	Mon Jun 22 00:25:16 +0000 2015	0	1	@Amazon looks to improve customer-reviews system with #machinelearning http://t.co/05rcgMD9PZ			3099404849	840	33	6176	Silicon Valley
612779129201528832	Mon Jun 22 00:28:23 +0000 2015	0	0	@amazon I am not a fan of the horrible customer service I have been getting lately. I am getting sick of it. Amazon is going down hill fast			505430786	7	8	47	
